date,reported_cases,fever_reports,hospital_visits,temperature,humidity,population_mobility
2022-04-04,12,26,44,27.138794614233525,59.255763090228314,20.61512320373217
2022-04-05,20,32,54,30.5384534191214,44.546560890640215,19.11919962950927
2022-04-06,11,27,56,30.950348088107617,33.2128848895212,25.5298985101191
2022-04-07,22,32,49,35.35545454927471,27.054963283390517,18.69495910475963
2022-04-08,16,32,45,33.947878553186385,59.643891038006956,12.88273240821886
2022-04-09,10,26,51,30.862846276765495,52.68860177684618,31.01877607069148
2022-04-10,20,33,62,34.02321883250815,46.889294275265804,15.904083697626477
2022-04-11,17,27,60,36.34617529642715,41.0955916811524,11.676082769054192
2022-04-12,13,32,53,36.37274029920422,39.698467092905155,23.579455708314836
2022-04-13,15,42,49,29.04488743712309,33.722682965853494,32.33475924286569
2022-04-14,19,25,54,34.30941493323086,39.6587269004821,23.760289467579806
2022-04-15,17,33,43,30.490135928570695,22.2674309369023,29.533162350874004
2022-04-16,21,28,39,37.286959040856736,35.604621778202564,14.39090734424611
2022-04-17,13,31,39,36.871505994421454,39.35492291994448,12.942575141478757
2022-04-18,16,29,57,31.75797654948886,48.06437131703897,17.362456258170596
2022-04-19,15,28,41,32.08263164760825,41.069959747836265,27.07183686949512
2022-04-20,12,24,43,32.92141379796176,48.924636909685574,23.074967739865993
2022-04-21,4,50,57,27.467043515988557,53.97561239346111,23.622948742078783
2022-04-22,19,21,53,35.14932167117804,50.577637570695416,20.258533977244696
2022-04-23,10,39,54,33.23468655541108,44.21567481624872,17.471880493965077
2022-04-24,18,26,53,36.87138421327327,39.14695108688977,20.552009923231484
2022-04-25,16,34,60,30.569133179008737,28.74144330786465,18.485824288410985
2022-04-26,7,31,42,31.906385546141113,45.47315608531649,17.080103967884696
2022-04-27,15,32,44,29.1394936772959,54.399115588728165,22.017862764384372
2022-04-28,15,34,40,30.537465344387506,40.55430225912968,17.919139251606936
2022-04-29,19,25,61,29.891643372818976,55.84124614112284,21.211981133990843
2022-04-30,14,34,53,36.30878087598174,20.952300735826043,9.839250965636113
2022-05-01,19,26,49,31.10539751334886,24.209833990193086,20.65019493979367
2022-05-02,14,26,64,33.44812183487367,43.85115508461085,17.8833138291899
2022-05-03,10,19,59,31.804841709163263,37.494070459886906,30.05816724859361
2022-05-04,16,34,44,29.006436748208962,47.54550740105262,11.502805024894908
2022-05-05,17,33,45,32.17383459078102,33.81410684430325,20.16018165312748
2022-05-06,16,42,53,34.33619218687034,24.854957026175114,25.373977773277637
2022-05-07,14,35,45,28.772034803228593,30.969545849702023,18.722323904461337
2022-05-08,13,40,53,34.67540914388288,17.35441179421084,17.68830993009411
2022-05-09,6,25,57,29.548036430381085,20.976249923122317,25.345809123647943
2022-05-10,15,34,53,30.493791178520716,41.57275788971464,22.893444250977083
2022-05-11,15,30,52,33.37679719521086,40.16773204682101,23.444111184120317
2022-05-12,11,28,45,29.632952148847146,34.66694051244031,17.091066758235655
2022-05-13,14,31,45,31.57105376986574,13.428781393508803,16.40284213179949
2022-05-14,17,26,50,30.345929926615852,26.663916703929655,21.22027187459699
2022-05-15,13,38,69,31.506434182840394,17.61220238637356,26.024754797894712
2022-05-16,15,35,46,23.80114599472682,41.247749889139335,12.345778893328035
2022-05-17,17,32,45,25.27610825951518,23.271491896467822,18.936018794040915
2022-05-18,8,33,47,32.43165516974818,17.88372254425072,16.6388343144219
2022-05-19,23,29,47,33.51076262025182,28.677947164598418,19.661364578518302
2022-05-20,14,41,53,27.480141031560677,21.623633283246516,24.599225311860174
2022-05-21,14,36,57,29.2888729066896,42.51432090589625,14.835407132207829
2022-05-22,23,29,37,30.711503116843183,19.987091602477683,23.712742486486686
2022-05-23,11,27,40,31.710473503524568,13.007952828748913,17.276010242316556
2022-05-24,9,18,63,23.34841040392497,5.142950433216043,27.341128838650043
2022-05-25,9,40,58,26.571148258514782,26.042983300950084,15.115343285396955
2022-05-26,8,35,54,28.026622808824214,20.417317674829782,25.90760471989575
2022-05-27,20,33,42,30.926199376095244,11.44044410363431,12.771792841864714
2022-05-28,19,24,53,36.10187546972935,37.32181801251545,20.76813566157183
2022-05-29,16,20,47,27.709821755723492,31.8093488590573,23.872448634698735
2022-05-30,12,36,57,23.9576741917978,24.56943005409447,15.245188405941288
2022-05-31,65,99,228,29.167754954032894,38.21703475492374,8.939615479264926
2022-06-01,65,122,240,31.703923233859925,30.928830456956025,16.815389321755017
2022-06-02,100,135,208,27.84266956462514,15.812223353919489,19.729198358879554
2022-06-03,90,126,192,24.57414497116747,13.39358525175992,17.668315845840887
2022-06-04,75,122,156,29.941374439548014,31.718374695863005,16.30955377198281
2022-06-05,65,194,236,28.829237258122184,27.262842271633204,25.46960720982023
2022-06-06,70,126,172,23.52953923267055,24.765175873679603,28.24393601246798
2022-06-07,105,99,184,27.519281952146336,14.379226274569012,27.69919480073323
2022-06-08,65,140,232,29.132136085210938,28.708232930935715,22.588881856759382
2022-06-09,120,148,192,29.44952427752368,14.866432077102193,23.55755019885221
2022-06-10,80,166,164,25.466272552131105,21.202390138247733,14.42829779584985
2022-06-11,60,130,196,24.35146762240856,36.5007650686344,19.149307925640414
2022-06-12,85,108,220,28.866006156304792,15.240335889672616,20.24428242381838
2022-06-13,45,108,220,21.310645724425303,5.944482164245411,21.464038220941834
2022-06-14,35,112,228,26.012343486800418,10.982992797555951,21.344797254730167
2022-06-15,70,108,172,20.340612407009072,31.29398562121858,19.74499444367457
2022-06-16,65,153,212,27.399588944767046,23.749330684009763,22.50590867900706
2022-06-17,50,135,192,23.18084584408662,19.77280094237516,21.044714192429648
2022-06-18,80,94,236,27.51108241415644,15.838767175152116,21.029508408834673
2022-06-19,85,108,196,24.928823322525766,25.66004895853404,15.571983247543093
2022-06-20,65,112,172,19.53315304141115,12.200796706782317,13.358337982833943
2022-06-21,65,99,200,27.223976543135375,23.642580875577,21.49781459747294
2022-06-22,90,135,204,27.350234585166625,13.176175498662134,17.049240375100272
2022-06-23,70,117,228,25.088964671875406,11.423668160499751,15.804138372994197
2022-06-24,45,126,220,19.902224358689466,13.945699532638898,24.067731328262248
2022-06-25,35,144,200,21.013180798716494,16.495605938181683,19.214670392043725
2022-06-26,45,130,196,22.111166759042707,19.699304227577624,29.577262706969453
2022-06-27,90,140,248,19.306920049263685,22.488916778676884,23.253925654935514
2022-06-28,125,148,264,26.23783690589156,-16.79368801203489,15.263599402598967
2022-06-29,40,135,212,21.336178575665006,11.977928388376592,24.162078177458586
2022-06-30,80,166,164,12.535289353745888,16.112076773372706,22.167825255018784
2022-07-01,14,30,39,21.405344041675658,35.06062093076796,15.079343164913233
2022-07-02,6,32,49,19.084632762878392,9.201085142690712,16.39095230492668
2022-07-03,14,27,44,19.646115378314338,21.629077407511158,23.7994605468011
2022-07-04,12,33,48,18.506865299235916,34.96030364204304,10.717597724836196
2022-07-05,15,28,54,21.775805754752106,6.898091247460371,9.366220535094724
2022-07-06,16,25,50,22.45586417517325,23.994186224488264,20.654880413189147
2022-07-07,17,29,45,19.68836229827401,12.067246562904344,20.16963613791033
2022-07-08,13,35,42,17.564015191327535,15.088021404673398,21.23252278697028
2022-07-09,17,30,44,18.201103278747073,12.156494247381513,20.187750541752955
2022-07-10,21,32,56,18.127576187944175,12.931107318862438,22.41519872727792
2022-07-11,23,26,52,15.405721926607374,47.53969535995394,28.369833220341505
2022-07-12,16,34,38,19.29468075163596,28.844820733966944,19.611695327770175
2022-07-13,22,36,48,18.683628185697966,31.506099804653793,12.021927258350424
2022-07-14,6,27,54,21.67123037242638,25.505860057516,10.291038052716027
2022-07-15,13,29,44,20.563235609268485,4.629277332664973,17.523286611195587
2022-07-16,16,29,48,14.48839019377043,24.756029586235208,17.667989313583675
2022-07-17,19,28,70,18.755562416312863,31.659001373341273,12.675399426945557
2022-07-18,14,38,47,13.192157459796476,12.527579988871585,8.785267244710482
2022-07-19,20,20,54,17.88433617483431,30.85528598181893,17.115430069831977
2022-07-20,14,28,41,13.999465114617326,28.39435945288313,32.27936471332502
2022-07-21,24,46,57,12.233634715835846,40.02886516439375,22.12532073155507
2022-07-22,12,32,46,15.899008794724262,17.496544609837827,21.517248103385
2022-07-23,16,28,56,6.792113925476579,10.872568425016803,18.545860780577986
2022-07-24,9,31,48,9.321367315837804,18.41504251103914,17.51399908303418
2022-07-25,15,25,48,13.801904870617681,36.57796661582074,22.825843852680443
2022-07-26,15,28,50,14.343471150057532,4.137362100022052,13.156308123791373
2022-07-27,16,28,61,12.751704307291117,1.94500010656785,35.04748242468437
2022-07-28,20,34,64,8.886686004303895,23.738157092574212,13.474821561470506
2022-07-29,10,33,57,10.938542708327056,18.641805266231426,23.47424078446492
2022-07-30,18,25,34,14.335027579085297,23.37645163871655,13.874127132732697
2022-07-31,17,30,51,14.677952696777128,32.99167696368305,20.347147738962725
2022-08-01,10,35,53,12.657240040581824,18.260093430479053,24.266892289308796
2022-08-02,13,31,68,15.951874141424334,5.3107240597976,11.261214923203593
2022-08-03,14,35,41,13.451255205139914,44.748285694969326,14.363119167745575
2022-08-04,21,35,51,9.796682315696366,14.601489438827308,14.667797537633717
2022-08-05,15,35,53,10.979887261655387,14.261237623345789,17.97939929402046
2022-08-06,14,23,49,7.397562592223792,36.17409752199084,21.140669870680593
2022-08-07,15,32,37,11.068999010260885,21.584662189542414,32.498599019016204
2022-08-08,15,24,50,14.519523073276915,25.095591648403467,16.344954923309093
2022-08-09,17,38,50,13.031509305759064,30.864520054012235,31.803278751968246
2022-08-10,8,39,53,14.97675897830745,37.1866793561842,21.879954494533123
2022-08-11,10,32,59,9.659902049665503,23.33747865897347,13.327572391372117
2022-08-12,10,38,50,14.407478684994318,42.19975548013821,18.573126882726957
2022-08-13,11,32,53,9.592741962519815,5.977202090471529,12.089205966859788
2022-08-14,21,30,49,14.393797284506682,35.27475417338995,17.526464123141334
2022-08-15,17,26,41,9.72282861551839,19.629902271416054,17.14362767541898
2022-08-16,11,27,51,11.722475718108173,42.102698679464055,20.45344623524197
2022-08-17,11,25,48,13.841582941321906,30.16164444037165,23.49926570983919
2022-08-18,11,39,59,8.65456340911696,22.37965991199981,19.031678816594823
2022-08-19,10,24,39,9.711803651335208,36.11082828147801,13.814855679797516
2022-08-20,11,33,59,12.74826011288997,38.79408474504658,36.8839240907531
2022-08-21,15,36,55,8.310988095229686,36.666893687644915,29.53616352247914
2022-08-22,16,35,53,4.578993960623374,20.3425942067829,33.196587369795814
2022-08-23,7,33,56,14.805760543249121,26.196726428158684,18.44352503932696
2022-08-24,11,41,53,6.805958780807874,31.39912953091055,21.57499423524863
2022-08-25,13,27,41,8.533525196073398,31.435721384033915,18.121741407211065
2022-08-26,16,24,52,11.370820813539211,39.759611408476125,20.505558982632618
2022-08-27,14,25,48,5.9264475171176585,12.532239178382085,20.84902452073052
2022-08-28,15,26,54,4.581083279474968,36.448748817287466,12.739610152212306
2022-08-29,9,34,39,8.222329699044952,30.634897707092005,17.630860854747816
2022-08-30,15,21,50,1.9420349459668795,25.58381708773112,26.63103896492285
2022-08-31,12,28,51,6.321449223148836,26.982817857638537,25.885493422989033
2022-09-01,11,25,58,7.7879840721975455,32.705791713174754,17.527927937389066
2022-09-02,10,27,49,6.114549528884682,-0.7117110374669622,20.974438337171847
2022-09-03,16,38,58,2.1694641108397246,28.738572130072992,17.9471489842391
2022-09-04,19,26,48,11.461674029169641,27.44986956997393,23.78503776153705
2022-09-05,9,20,50,6.873025100823893,41.99648675008784,11.229374256929235
2022-09-06,16,34,44,10.743119318414962,29.077975037520268,22.845493991413676
2022-09-07,14,25,50,5.560821798045422,35.45050376480797,30.182108788931753
2022-09-08,12,28,40,3.5962096640368078,53.49648184813632,15.518079080055273
2022-09-09,17,35,66,6.943181927869079,48.49283859015448,28.827939960477902
2022-09-10,16,27,42,5.391779655445651,48.051038294516445,21.306119248260703
2022-09-11,9,25,46,2.413495431594453,34.51185203835463,19.01648283006892
2022-09-12,12,35,46,10.267935625506178,45.42625942535091,17.485041140783263
2022-09-13,11,34,51,3.9077656311354376,38.14528333779088,29.157463131276643
2022-09-14,11,36,49,0.17398589615661297,39.01447366416058,17.965623728139036
2022-09-15,8,31,47,9.603730907062552,45.566077819035385,31.659209895212733
2022-09-16,9,37,44,4.0350477240999005,35.99563496092543,30.44701751613184
2022-09-17,19,34,56,3.6574615767921643,57.394329127887445,16.696430393672276
2022-09-18,11,33,54,0.12206428947416015,41.363956916908315,18.38753861199525
2022-09-19,22,25,48,10.58266620030545,49.65190875070068,10.107791416278458
2022-09-20,16,27,47,1.4373528636885862,58.529288138653925,19.21345586175067
2022-09-21,18,35,43,5.4314501624172165,54.796587196021356,19.972205475733396
2022-09-22,13,31,43,7.948638718163867,30.899260208031166,27.537539395143103
2022-09-23,15,29,47,6.4349869455241855,49.94729699975926,30.98829632715069
2022-09-24,9,33,46,4.954326104121606,54.51675274858058,24.494040755483457
2022-09-25,12,41,40,-0.0038503138734631293,55.440592233742464,26.805694456182998
2022-09-26,10,30,50,2.644245826187687,35.902447496867524,18.382892013005954
2022-09-27,15,33,62,5.613517487815015,40.97935576991407,13.000514968147877
2022-09-28,13,26,45,2.6697203770581277,58.01032887393672,21.293593338122992
2022-09-29,13,32,45,5.626882646220801,40.962754643500574,27.387248488793364
2022-09-30,12,24,34,7.052036016135065,46.0994302879496,7.512864234214452
2022-10-01,18,29,57,7.888758777579238,65.37144921276942,20.27350502400728
2022-10-02,15,36,50,1.321600830519099,49.65111364503941,10.56931156103171
2022-10-03,13,32,41,11.593410635238499,43.37774154474824,15.114962693040868
2022-10-04,10,36,47,7.313687865067139,42.38549485813617,20.530170096329645
2022-10-05,23,44,51,5.018326221659344,55.004702998869966,31.155691634986212
2022-10-06,8,30,48,8.30873515260759,38.86137381217024,19.628942839020734
2022-10-07,16,23,53,12.157438373792232,50.23418866196704,23.982658217858113
2022-10-08,10,31,49,0.7705710934201129,56.553745749825104,21.22783362621598
2022-10-09,11,28,40,4.440878931256953,66.72587612208034,15.4086634511099
2022-10-10,17,21,56,-1.98428240593028,60.92168966021124,22.537487117981957
2022-10-11,13,33,50,5.767712962034278,47.616130373272256,12.885976257517827
2022-10-12,14,24,52,6.329075474494038,67.05013788828003,19.539408486400465
2022-10-13,14,26,34,5.162916599597582,52.77839708365012,28.9766750592919
2022-10-14,14,38,43,3.3686741644202205,43.92240915839738,20.712306079591645
2022-10-15,18,36,55,-0.7600503761512849,55.06305697259392,21.230750979623878
2022-10-16,12,27,41,6.569642222462701,71.66718367433509,17.518325565561955
2022-10-17,14,21,42,9.88020438692315,59.43775441274323,11.49382380103617
2022-10-18,21,20,44,3.809997874715192,58.40812783622193,18.155838745830774
2022-10-19,16,25,45,6.976657388190848,75.15012651602896,25.463192869524114
2022-10-20,10,26,35,1.0297193153125441,44.95696136070415,22.080155735684546
2022-10-21,16,24,35,7.1876933796703995,46.90427140083166,13.130157142366365
2022-10-22,10,26,50,4.7220122376376,44.08865836536736,10.387824319140988
2022-10-23,12,27,51,3.705187715847379,64.45742902979431,15.350839426696556
2022-10-24,13,25,43,3.8057838226636607,62.876522714865324,18.21434395658009
2022-10-25,10,26,52,5.004595938151449,77.11627715872139,18.627312349350284
2022-10-26,19,33,56,7.4353801242976,64.59752262216762,18.70535537488265
2022-10-27,12,25,41,2.4583032043739053,58.591454529089646,19.567789271183834
2022-10-28,18,23,54,5.314190960512791,63.11748568746298,22.312174939157767
2022-10-29,17,37,54,6.495864469109326,64.7392403025787,17.13942122567385
2022-10-30,12,21,44,3.441869677253967,47.303163781458395,14.276876998609227
2022-10-31,16,27,43,12.251620027861401,91.57854869618545,23.12289549145637
2022-11-01,10,35,54,4.427668238872018,70.12410884823451,25.65929886839014
2022-11-02,15,31,62,5.110229884962484,67.47122544407858,16.273262660701562
2022-11-03,22,23,39,4.317819777619592,71.96397110205697,35.12945914349982
2022-11-04,17,26,45,12.786164176897177,73.34294442554548,30.601221700641165
2022-11-05,16,21,48,9.191156290311326,65.27498824468702,13.434934314202854
2022-11-06,14,27,50,4.868075681732855,60.794857418346595,10.639706275621837
2022-11-07,22,19,48,11.145608791469488,73.52345207206808,18.465750425444547
2022-11-08,14,29,56,8.58167976024648,71.80253583749199,21.274844608684216
2022-11-09,20,31,42,8.907575411982844,60.25769104716764,34.95397883651869
2022-11-10,16,27,47,7.262130607681001,82.95267330323,34.55465304138962
2022-11-11,7,38,57,6.210529635870008,72.09600302477563,24.001105159230374
2022-11-12,19,24,43,9.638711169985365,76.85516349903769,17.25185117695944
2022-11-13,13,34,39,7.160156994564902,83.86487081572778,27.926891990672438
2022-11-14,15,30,56,14.419011544265526,70.54733188304901,20.316555957943322
2022-11-15,13,28,52,5.337466109832001,73.87472171713031,12.495755209412579
2022-11-16,18,28,51,13.93362098433821,79.17609661013586,12.651368168538365
2022-11-17,11,29,47,9.174168547831892,64.1915907432883,17.288948745732455
2022-11-18,10,23,53,10.591465693708304,72.33874237151696,26.40986019527867
2022-11-19,15,42,62,12.38281901739412,73.40527648660466,13.804449921313436
2022-11-20,21,31,51,8.184732841352506,62.934206519303096,17.27683871061801
2022-11-21,16,30,56,12.863301738571183,96.00949564656202,30.513250516821703
2022-11-22,10,25,42,2.3458839205038053,59.0917631000509,22.068009490017637
2022-11-23,15,28,55,8.50933017372116,60.50836407344029,33.252734736844516
2022-11-24,8,23,49,8.100658526249907,86.9494140256002,22.889465212725554
2022-11-25,11,24,46,7.318581658473255,81.25050136295005,26.718842105462066
2022-11-26,16,25,48,10.643131383956128,64.16173463043874,17.39060355732466
2022-11-27,18,36,52,12.656723560178309,80.79058032374354,31.19768496556219
2022-11-28,15,31,58,13.821450297983613,89.68517760513018,24.23167650510027
2022-11-29,14,28,58,12.652552698526733,74.98561554467364,18.82074822611026
2022-11-30,10,28,46,10.151685494836105,101.5505546337851,29.22490283531263
2022-12-01,13,31,47,13.476985155693939,58.588212367989485,23.889202725462717
2022-12-02,17,35,36,12.96622383215289,83.02591621898935,19.421195421774822
2022-12-03,18,33,52,15.627160902071225,88.00408590323669,23.105371434918915
2022-12-04,12,25,45,15.377556045251781,85.49555766207659,14.698469735329681
2022-12-05,19,26,58,13.367989115655728,74.77400062912122,27.9595086185414
2022-12-06,17,35,58,10.816607093259753,74.14063570384502,34.75155593183693
2022-12-07,9,34,56,11.783245493319003,81.70598083105766,11.32437211758681
2022-12-08,19,29,43,12.328312082996295,85.6334735145393,16.213572971491658
2022-12-09,17,21,59,13.269249904597121,83.70392082803826,15.777421096321925
2022-12-10,11,39,41,15.258283139409162,88.27482125002912,24.719980033689374
2022-12-11,11,26,66,16.84038133773859,67.87233890872709,20.922685077003145
2022-12-12,14,29,47,14.783800427042165,75.96180973414906,17.001600502447452
2022-12-13,19,34,55,15.22932943831594,69.00947327104471,17.832115742539873
2022-12-14,12,30,56,15.85610054515567,74.71019951105049,16.499715426610894
2022-12-15,16,35,50,14.125047567393832,88.87676456879421,23.72487762739717
2022-12-16,16,36,47,13.144450864059554,79.94911153087675,20.81341855009665
2022-12-17,16,27,47,10.903386881325048,105.07402603965602,17.55602616711776
2022-12-18,18,30,50,14.334460435680134,81.06706522838567,16.595637474540055
2022-12-19,20,18,47,18.090613664740857,79.8488547735132,29.393201792045762
2022-12-20,14,31,54,14.81469818785201,80.42403159340962,27.726544446676048
2022-12-21,12,36,55,16.463178240073525,73.08568124744066,23.81326650905425
2022-12-22,17,25,53,18.829896699514784,78.97823707890589,26.7638490116577
2022-12-23,11,34,52,19.247436179303794,90.9185602410274,12.536902108912884
2022-12-24,9,32,51,14.702219861802904,80.85568024524441,13.76319498621456
2022-12-25,12,24,38,21.188057395870633,71.84786437489748,13.274601630541818
2022-12-26,11,35,66,21.835524806354925,70.58927839255928,19.611804846147795
2022-12-27,20,34,49,15.320978447282618,75.3869263313798,27.050642562564086
2022-12-28,16,35,51,16.496452989041728,80.66754350330638,17.079487099417147
2022-12-29,14,33,44,22.798977041089763,91.8958698434169,28.255271367061923
2022-12-30,15,40,42,19.04311526189291,66.57733560852677,16.202288841370425
2022-12-31,11,19,49,13.08246581530692,76.79729239738592,18.747693181043644
2023-01-01,8,36,44,15.800955485801952,81.44310019435079,17.016881397532362
2023-01-02,12,35,53,19.510091466820064,61.658497499979134,18.288312168408712
2023-01-03,12,27,48,17.027196223487387,71.64623919252708,18.925136775525953
2023-01-04,18,40,52,19.534023696439466,73.16111909129242,10.533601212806936
2023-01-05,16,32,51,21.129225043085537,71.96920542069259,21.87272726901755
2023-01-06,18,27,65,25.67623579316588,81.8078406982547,18.783932594258292
2023-01-07,16,34,36,20.67516371302816,78.23452850232766,31.174719219310305
2023-01-08,15,33,44,25.02074607220856,74.22960064772184,23.43693705413798
2023-01-09,13,27,49,26.345462067809283,83.99559982949303,21.569171261986128
2023-01-10,9,29,47,26.61756131802045,96.87142714637343,30.555554161359424
